create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
you can construct a formula using salesforce operators and functions. you can also add information from the quote or the target object field (for example, sbqq__quoteline__c.sbqq__listprice__c).	mithilfe der operatoren und funktionen von salesforce können sie eine formel erstellen. sie können auch informationen aus dem angebots- oder zielobjektfeld hinzufügen (z. b. sbqq__quoteline__c.sbqq__listprice__c).
this section of the flow uses a single query to look up the list of accounts and a single dml statement to update those accounts. if you created a similar flow by using record update elements, you would use:	dieser abschnitt des flows verwendet eine einzige abfrage, um die liste der accounts nachzuschlagen, und eine einzige dml-anweisung, um diese accounts zu aktualisieren. wenn sie einen ähnlichen flow mithilfe von elementen vom typ "datensatzaktualisierung" erstellen, würden sie folgendes verwenden:
as you type in the global search box, a list of auto-suggested records for multiple object types appears. these instant results let you quickly access a record before performing a full search.	wenn sie im globalen suchfeld eingaben vornehmen, wird eine liste von automatisch empfohlenen datensätzen für mehrere objekttypen angezeigt. mit diesen sofortigen ergebnissen können sie schnell auf einen datensatz zugreifen, bevor sie eine vollständige suche durchführen.
on the settings page, click set up now.	klicken sie auf der seite "einstellungen" auf jetzt einrichten.
per-user authentication	authentifizierung pro benutzer
multi-signature service reports	serviceberichte mit mehrfachsignatur
merging, considerations for	zusammenführen, überlegungen
product options	produktoptionen
business processes can be complex. when your flow is too large for the canvas, control the zoom, search in the explorer tab, or collapse the left side panel.	geschäftsprozesse können komplex sein. wenn ihr flow zu groß für den zeichenbereich ist, verändern sie den zoom-faktor, suchen sie auf der registerkarte "explorer" oder blenden sie den linken seitlichen bereich aus.
begin by entering the required minimum {0} as a placeholder for the auto-number without any leading zeros. add any prefix to your number before this placeholder and insert any suffix text after the placeholder. insert any date prefixes or suffixes in the form of {yy}, {yyyy}, {mm}, or {dd}, which represent the record creation date in greenwich mean time (gmt).	geben sie zunächst den erforderlichen mindestwert ein: {0}. dies ist ein platzhalter für die automatisch eingetragene nummer ohne vorangehende nullen. geben sie alle gewünschten präfixe vor und alle suffixe nach dem platzhalter ein. geben sie etwaige datumspräfixe oder -suffixe im format {yy}, {yyyy}, {mm} bzw. {dd} an. diese stehen immer für das erstellungsdatum, angegeben in greenwich mean time (gmt).
hard delete	hard delete
a subset of error messages is available only in english.	einige fehlermeldungen sind nur in englischer sprache vorhanden.
apex triggers are stored as metadata in the application under the object with which they are associated.	apex-auslöser werden in der anwendung, unter dem objekt, dem sie zugeordnet sind, als metadaten gespeichert.
the destination lens uses a different dataset than the source lens.	die ziellinse verwendet ein anderes datenset als die quelllinse.
by default, all users who are assigned a profile that has the feed post editing permissions enabled can edit their posts and comments. if needed, you can disable feed post editing for all users in your organization, regardless of their assigned user profile. you can also shut off post and comment editing for all users assigned the “can approve feed post and comment” permission.	standardmäßig können alle benutzer, denen ein profil zugewiesen ist, bei dem die berechtigungen zur feedpostbearbeitung aktiviert sind, ihre posts und kommentare bearbeiten. bei bedarf können sie die feedpostbearbeitung für alle benutzer in der organisation unabhängig davon deaktivieren, welche benutzerprofile ihnen zugewiesen sind. sie können die post- und kommentarbearbeitung auch für alle benutzer deaktivieren, denen die berechtigung "kann feedpost und kommentar genehmigen" zugewiesen ist.
parentcase.id	parentcase.id
on the price books page, click new.	klicken sie auf der seite "preisbücher" auf neu.
flow_interview_resumed	flow_interview_resumed
rename a report or dashboard folder in lightning experience	umbenennen von berichts- oder dashboard-ordnern in lightning experience
the android and iphone apps are available in english, japanese, french, german, and spanish. contact salesforce to turn on salesforce mobile classic for your organization.	die android- und iphone-anwendungen stehen in englischer, japanischer, französischer, deutscher und spanischer sprache zur verfügung. wenden sie sich an salesforce, wenn salesforce mobile classic für ihre organisation zur verfügung stehen soll.
custom report type name	typname des benutzerdefinierten berichts
chatter desktop doesn’t support chatter questions.	chatter desktop unterstützt chatter-fragen nicht.
workflow rules are installed without any time-based triggers that the developer might have created. set up time-based triggers as necessary.	workflowregeln werden ohne die zeitabhängigen auslöser installiert, die der entwickler möglicherweise erstellt hat. richten sie nach bedarf zeitabhängige auslöser ein.
search for the following preferences and set them to the recommended value by double-clicking the preference name. changes take effect immediately.	suchen sie nach den unten angegebenen einstellungen und legen sie jeweils den empfohlenen wert fest. doppelklicken sie hierzu auf den namen der jeweiligen einstellung. änderungen treten sofort in kraft.
custom labels	benutzerdefinierte bezeichnungen
deletes products that are not on opportunities and moves them to the recycle bin.	löschen von produkten, die keinen opportunities zugeordnet sind, und verschieben dieser produkte in den papierkorb.
now it’s time to figure out how the dataflow will extract the salesforce data and load it into a dataset. you start by creating this high-level design for the dataflow.	im folgenden erfahren sie, wie der datenfluss die salesforce-daten extrahiert und in ein datenset lädt. sie beginnen, indem sie einen allgemeinen entwurf für den datenfluss erstellen.
you change a contact’s phone number in connect offline and another user changes that contact’s address in salesforce before you synchronize.	sie ändern die telefonnummer eines kontakts in connect offline und ein anderer benutzer ändert die adresse dieses kontakts in salesforce, bevor sie die synchronisierung vornehmen.
view details about each partition.	anzeigen der details zu jeder partition
what are the exceptions?	welche ausnahmen gibt es?
these fields are only available for lookup search, not global search.	diese felder stehen nur für die nachschlagesuche, nicht aber für die globale suche zur verfügung.
the subject nameid must be the username of the desired salesforce user.	bei subject nameid muss es sich um den benutzernamen des gewünschten salesforce-benutzers handeln.
